product_category_name,product_category_name_english
BELEZA_SAUDE,HEALTH_BEAUTY
INFORMATICA_ACESSORIOS,COMPUTERS_ACCESSORIES
AUTOMOTIVO,AUTO
CAMA_MESA_BANHO,BED_BATH_TABLE
MOVEIS_DECORACAO,FURNITURE_DECOR
ESPORTE_LAZER,SPORTS_LEISURE
PERFUMARIA,PERFUMERY
UTILIDADES_DOMESTICAS,HOUSEWARES
TELEFONIA,TELEPHONY
RELOGIOS_PRESENTES,WATCHES_GIFTS
ALIMENTOS_BEBIDAS,FOOD_DRINK
BEBES,BABY
PAPELARIA,STATIONERY
TABLETS_IMPRESSAO_IMAGEM,TABLETS_PRINTING_IMAGE
BRINQUEDOS,TOYS
TELEFONIA_FIXA,FIXED_TELEPHONY
FERRAMENTAS_JARDIM,GARDEN_TOOLS
FASHION_BOLSAS_E_ACESSORIOS,FASHION_BAGS_ACCESSORIES
ELETROPORTATEIS,SMALL_APPLIANCES
CONSOLES_GAMES,CONSOLES_GAMES
AUDIO,AUDIO
FASHION_CALCADOS,FASHION_SHOES
COOL_STUFF,COOL_STUFF
MALAS_ACESSORIOS,LUGGAGE_ACCESSORIES
CLIMATIZACAO,AIR_CONDITIONING
CONSTRUCAO_FERRAMENTAS_CONSTRUCAO,CONSTRUCTION_TOOLS_CONSTRUCTION
MOVEIS_COZINHA_AREA_DE_SERVICO_JANTAR_E_JARDIM,KITCHEN_DINING_LAUNDRY_GARDEN_FURNITURE
CONSTRUCAO_FERRAMENTAS_JARDIM,COSTRUCTION_TOOLS_GARDEN
FASHION_ROUPA_MASCULINA,FASHION_MALE_CLOTHING
PET_SHOP,PET_SHOP
MOVEIS_ESCRITORIO,OFFICE_FURNITURE
MARKET_PLACE,MARKET_PLACE
ELETRONICOS,ELECTRONICS
ELETRODOMESTICOS,HOME_APPLIANCES
ARTIGOS_DE_FESTAS,PARTY_SUPPLIES
CASA_CONFORTO,HOME_CONFORT
CONSTRUCAO_FERRAMENTAS_FERRAMENTAS,COSTRUCTION_TOOLS_TOOLS
AGRO_INDUSTRIA_E_COMERCIO,AGRO_INDUSTRY_AND_COMMERCE
MOVEIS_COLCHAO_E_ESTOFADO,FURNITURE_MATTRESS_AND_UPHOLSTERY
LIVROS_TECNICOS,BOOKS_TECHNICAL
CASA_CONSTRUCAO,HOME_CONSTRUCTION
INSTRUMENTOS_MUSICAIS,MUSICAL_INSTRUMENTS
MOVEIS_SALA,FURNITURE_LIVING_ROOM
CONSTRUCAO_FERRAMENTAS_ILUMINACAO,CONSTRUCTION_TOOLS_LIGHTS
INDUSTRIA_COMERCIO_E_NEGOCIOS,INDUSTRY_COMMERCE_AND_BUSINESS
ALIMENTOS,FOOD
ARTES,ART
MOVEIS_QUARTO,FURNITURE_BEDROOM
LIVROS_INTERESSE_GERAL,BOOKS_GENERAL_INTEREST
CONSTRUCAO_FERRAMENTAS_SEGURANCA,CONSTRUCTION_TOOLS_SAFETY
FASHION_UNDERWEAR_E_MODA_PRAIA,FASHION_UNDERWEAR_BEACH
FASHION_ESPORTE,FASHION_SPORT
SINALIZACAO_E_SEGURANCA,SIGNALING_AND_SECURITY
PCS,COMPUTERS
ARTIGOS_DE_NATAL,CHRISTMAS_SUPPLIES
FASHION_ROUPA_FEMININA,FASHIO_FEMALE_CLOTHING
ELETRODOMESTICOS_2,HOME_APPLIANCES_2
LIVROS_IMPORTADOS,BOOKS_IMPORTED
BEBIDAS,DRINKS
CINE_FOTO,CINE_PHOTO
LA_CUISINE,LA_CUISINE
MUSICA,MUSIC
CASA_CONFORTO_2,HOME_COMFORT_2
PORTATEIS_CASA_FORNO_E_CAFE,SMALL_APPLIANCES_HOME_OVEN_AND_COFFEE
CDS_DVDS_MUSICAIS,CDS_DVDS_MUSICALS
DVDS_BLU_RAY,DVDS_BLU_RAY
FLORES,FLOWERS
ARTES_E_ARTESANATO,ARTS_AND_CRAFTMANSHIP
FRALDAS_HIGIENE,DIAPERS_AND_HYGIENE
FASHION_ROUPA_INFANTO_JUVENIL,FASHION_CHILDRENS_CLOTHES
SEGUROS_E_SERVICOS,SECURITY_AND_SERVICES
