geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
18243,28.008978338034268,-15.536867177679133,bom retiro da esperanca,SP
28165,41.61405150610495,-8.411675312504059,vila nova de campos,RJ
28155,42.43928591592116,13.82021409761152,santa maria,RJ
28333,38.38167205114709,-6.328200272094753,raposo,RJ
28595,43.68496096631822,-7.411080413859842,portela,RJ
29654,29.40925222930908,-98.48412074808029,santo antônio do canaã,ES
29654,21.65754744931478,-101.46676644931476,santo antonio do canaa,ES
35179,25.995202881053302,-98.07854439291536,santana do paraíso,MG
35179,25.995244980240106,-98.0785330980116,santana do paraiso,MG
45936,38.3239386880374,-6.775035344018704,itabatan,BA
46560,38.99196259838999,-4.947823288649088,ibiajara,BA
47310,38.26820516582393,-7.803885844521256,santana do sobrado,BA
57319,45.06593318269697,9.341527629906514,pau d'arco,AL
58441,41.38532754845633,-8.717341701284429,são josé da mata,PB
68275,41.14620290949943,-8.57785501800488,porto trombetas,PA
68275,42.16680464053045,-6.898530628106095,porto trombetas,PA
68275,42.16725082536653,-6.898559051071016,porto trombetas,PA
68275,42.16725082536653,-6.898559051071016,porto trombetas,PA
68275,42.16725082536653,-6.898559051071016,porto trombetas,PA
68379,38.71312760878105,-9.135741391218955,castelo dos sonhos,PA
68447,42.42888405758768,-6.873343870596927,vila dos cabanos,PA
68901,0.0402530563973179,-51.0785768417404,macapa,AP
68900,0.035899351627026,-51.06350042615323,macapa,AP
68948,0.90479677530647,-52.00158105061295,serra do navio,AP
68904,0.0091346517129429,-51.09153092504664,macapa,AP
68920,1.211469000000058,-53.045751499999966,laranjal do jari,AP
68906,0.027502444816341,-51.12354024723783,macapa,AP
68908,0.0490969345087335,-51.05735669770298,macapa,AP
68908,0.0526744953339811,-51.06100993403336,macapá,AP
68900,0.0360756533244695,-51.06011381804132,macapá,AP
68909,0.0881862458710302,-51.05431966562544,macapa,AP
68908,0.0535390516997954,-51.058004866633695,macapa,AP
68901,0.0370298685269346,-51.056043614706525,macapa,AP
68903,0.004616999999996,-51.08630074488575,macapa,AP
68904,0.0234131621850159,-51.08659878598549,macapa,AP
68900,0.031205364253157,-51.06908367335794,macapa,AP
68902,0.0371315833136495,-51.09033070049051,macapa,AP
68906,0.0299078271692533,-51.12258392868848,macapa,AP
68901,0.0263579084702809,-51.06635166440454,macapa,AP
68908,0.0675883430625404,-51.05667364758324,macapa,AP
68980,3.844901490570064,-51.83014644000704,oiapoque,AP
68908,0.049760378681301,-51.06329765576887,macapa,AP
68902,0.0174034312963227,-51.06358253186523,macapa,AP
68906,0.0750164293809543,-51.07902627434671,macapa,AP
68900,0.0350849722147331,-51.062590688261295,macapa,AP
68901,0.0413164423342657,-51.05532758954407,macapa,AP
68908,0.0437788051782568,-51.0651441014117,macapa,AP
68900,0.0325978819688619,-51.06045554255461,macapa,AP
68903,0.0019573468551718,-51.09332475143276,macapa,AP
68920,1.211469000000058,-53.045751499999966,laranjal do jari,AP
68903,0.0040050000000064,-51.08802640712048,macapa,AP
68901,0.0358088757933616,-51.072941938418666,macapa,AP
68900,0.0355981653523353,-51.05755647484378,macapa,AP
68908,0.0526744953339811,-51.06100993403336,macapa,AP
68908,0.0756762674474263,-51.05690217489541,macapa,AP
68909,0.0925154178332836,-51.08302393324467,macapa,AP
68908,0.0762893578469475,-51.08233156694214,macapá,AP
68900,0.0353869185751485,-51.05478811349376,macapá,AP
68909,0.0842672054512282,-51.06154728298081,macapa,AP
68900,0.0348929573776164,-51.07393988296194,macapa,AP
68901,0.0295638043197512,-51.068566010748135,macapa,AP
68904,0.0103034878301957,-51.090553202879725,macapa,AP
68900,0.0327407380860092,-51.06934569902635,macapa,AP
68980,3.84020179212284,-51.83277904777481,oiapoque,AP
68907,0.069916676324915,-51.05072820847661,macapa,AP
68900,0.0460104854708342,-51.05125121682322,macapa,AP
68900,0.0333754467310489,-51.0547000819085,macapá,AP
68901,0.047010394698347,-51.05556191521548,macapá,AP
68902,0.0122170329217942,-51.06300216919019,macapa,AP
68945,0.7784991694551642,-51.95586522818851,pedra branca do amapari,AP
68900,0.034997604174992,-51.06017482923317,macapa,AP
68945,0.7754062411356021,-51.94993152314136,pedra branca do amapari,AP
68902,0.0199738915224052,-51.07370874948396,macapá,AP
68901,0.0356702932515817,-51.07069918247641,macapa,AP
68904,0.017799323540179,-51.08436767499086,macapa,AP
68980,3.846427498376821,-51.83675018177709,oiapoque,AP
68904,0.0094389677725415,-51.07839237541292,macapa,AP
68907,0.0696447971966994,-51.050223044367854,macapá,AP
68901,0.0407066380232883,-51.05782138467288,macapa,AP
68900,0.0378077796552883,-51.05313279535852,macapa,AP
68902,0.0253159053890925,-51.0692316157736,macapá,AP
68900,0.036851257101532,-51.0646782336212,macapa,AP
68902,0.0238989898225484,-51.07575789615083,macapa,AP
68909,0.0962353957421287,-51.05533564683405,macapá,AP
68908,0.0558839430621879,-51.05768870673255,macapa,AP
68901,0.0402501049583347,-51.076497686767766,macapa,AP
68902,0.0165827823792767,-51.06865221934,macapa,AP
68900,0.0352724903989206,-51.0668228213855,macapá,AP
68901,0.0312041917780785,-51.05986290150687,macapa,AP
68900,0.0301598780406707,-51.05368535044082,macapa,AP
68948,0.8896191903041019,-52.00095604928857,serra do navio,AP
68908,0.0639861812205255,-51.06010821517273,macapa,AP
68900,0.0332477149146362,-51.07938925846031,macapá,AP
68908,0.0438525325668544,-51.06802493478405,macapa,AP
68901,0.0379087587831218,-51.07962572570726,macapa,AP
68906,0.0312370019880296,-51.11514403718013,macapa,AP
68908,0.0639861812205255,-51.06010821517273,macapa,AP
68902,0.0150909974109258,-51.06898949277977,macapa,AP
68908,0.0739968387876569,-51.07907376153915,macapa,AP
68904,0.0093665658260389,-51.09516789901956,macapa,AP
68909,0.0948364166108775,-51.05724944918563,macapa,AP
68908,0.0505349179321589,-51.05692436761616,macapá,AP
68909,0.0019358157683143,-51.06243261552706,macapa,AP
68908,0.0526744953339811,-51.06100993403336,macapa,AP
68906,0.0364293947711448,-51.08201129518656,macapá,AP
68903,0.0025649999999981,-51.072543,macapa,AP
68908,0.0585332994782229,-51.05501404177809,macapá,AP
68908,0.0536430815813222,-51.053314688649166,macapa,AP
68900,0.0340961256196297,-51.06410715119527,macapa,AP
68900,0.032974930054405,-51.07440844505064,macapá,AP
68906,0.0380355180871737,-51.09091270059314,macapa,AP
68901,0.0345334704818548,-51.07274559659623,macapa,AP
68902,0.0121976892554346,-51.062744443282526,macapa,AP
68903,0.0006298486072866,-51.0791097885383,macapa,AP
68902,0.0216787388129484,-51.07770066027728,macapa,AP
68909,0.002814761635168,-51.0619290599053,macapa,AP
68904,0.0194624281444081,-51.079934483443566,macapá,AP
68980,3.847265837179554,-51.827862215876095,oiapoque,AP
68903,0.000658826456132,-51.0727224373187,macapa,AP
68905,0.0449492316842115,-51.04861268455439,macapá,AP
68904,0.0145039088847472,-51.08224226350252,macapa,AP
68908,0.0497564993203091,-51.05731441133929,macapa,AP
68906,0.0366502551916275,-51.08690038477514,macapa,AP
68908,0.0748287858703929,-51.06355646574092,macapa,AP
68906,0.0309408653518938,-51.11690992272841,macapa,AP
68908,0.0434452170995045,-51.06053555209396,macapa,AP
68901,0.0242946853092729,-51.07015515541683,macapa,AP
68909,0.1005585989551842,-51.0524412659235,macapa,AP
68905,0.0418316734649929,-51.04987339514423,macapa,AP
68904,0.0185467023329778,-51.08430888958323,macapa,AP
68904,0.0100396475287804,-51.07574336610979,macapa,AP
68908,0.0527815852599046,-51.05664173843025,macapa,AP
68900,0.0399649684304062,-51.06203125597413,macapa,AP
68904,0.0127891069387587,-51.08603377278193,macapa,AP
68908,0.0459499514232846,-51.06444880019918,macapá,AP
68901,0.0280646761155467,-51.056338515652456,macapa,AP
68980,3.845562971695976,-51.82967739343017,oiapoque,AP
68901,0.0256263771046846,-51.06549550833189,macapa,AP
68900,0.0307578544475214,-51.06226602069104,macapa,AP
68900,0.0329348785393376,-51.07364079101185,macapa,AP
68900,0.0334373953304241,-51.06856984996464,macapa,AP
68901,0.0168890998824891,-51.05740099400453,macapa,AP
68908,0.072872361802214,-51.05564565013089,macapa,AP
68909,0.0905166865726467,-51.04890862991905,macapá,AP
68908,0.0520905799912584,-51.054975902147696,macapa,AP
68901,0.0257318996076639,-51.08001062901354,macapa,AP
68909,0.0800934987642039,-51.05740971440199,macapa,AP
68903,0.0066058425849812,-51.077372297189605,macapa,AP
68908,0.0528123444908522,-51.0521113205819,macapa,AP
68909,0.096238597520813,-51.08110405289326,macapa,AP
68904,0.0086648196389008,-51.09563841275973,macapa,AP
68901,0.0279711286908909,-51.06594339640303,macapa,AP
68900,0.0338582213947642,-51.06061774086325,macapá,AP
68908,0.0368862401681103,-51.051868487691365,macapa,AP
68908,0.0437788051782568,-51.0651441014117,macapa,AP
68901,0.0267967880047507,-51.07908238262074,macapa,AP
68903,0.009303046677257,-51.067495343589535,macapa,AP
68902,0.0197259378789582,-51.0713694315755,macapa,AP
68908,0.0439403712064396,-51.069273890440655,macapa,AP
68905,0.0041186174167843,-51.06035940736016,macapa,AP
68900,0.0378077796552883,-51.05313279535852,macapa,AP
68903,0.0085193409848501,-51.06559032174751,macapa,AP
68908,0.0291384108992852,-51.05247369922164,macapa,AP
68907,0.069916676324915,-51.05072820847661,macapa,AP
68900,0.0327407380860092,-51.06934569902635,macapa,AP
68909,0.0905149425555106,-51.05526275371231,macapa,AP
68901,0.0335411401319673,-51.076861394036285,macapa,AP
68904,0.0166876364960192,-51.07834198411296,macapa,AP
68901,0.0317968004096554,-51.0567169796802,macapa,AP
68900,0.0314170144953606,-51.06124468749203,macapa,AP
68908,0.071162192467107,-51.06113375308004,macapa,AP
68900,0.03725893878634,-51.050660472998096,macapa,AP
68902,0.0204549727821823,-51.05945989740986,macapa,AP
68909,0.082265443343985,-51.0628807993012,macapa,AP
68980,3.849093133311387,-51.8319106923192,oiapoque,AP
68900,0.0322426147955222,-51.05196730428242,macapá,AP
68908,0.0569664216840851,-51.05853619886202,macapá,AP
68905,0.0865260790776826,-51.053059333167774,macapa,AP
68909,0.1015113810093949,-51.04145181227346,macapa,AP
68900,0.044280590963396,-51.06240311081143,macapa,AP
68906,0.0382820258956558,-51.085264549223744,macapa,AP
68908,0.0526744953339811,-51.06100993403336,macapá,AP
68900,0.0329146353626891,-51.06097087678103,macapa,AP
68908,0.0534539422786059,-51.06096672576889,macapa,AP
68900,0.029904003253059,-51.06047245986305,macapá,AP
68900,0.0383795032525049,-51.0627616516102,macapa,AP
68902,0.017590757722418,-51.07312228275047,macapa,AP
68900,0.0427205454670148,-51.05963237112689,macapá,AP
68900,0.0343330826607515,-51.06761242176145,macapa,AP
68908,0.05338454640933,-51.057623320373175,macapá,AP
68904,0.0232330661274693,-51.07784779126607,macapá,AP
68911,0.0037175935876586,-51.06095157995029,macapá,AP
68900,0.0333365465459089,-51.0491784797689,macapa,AP
68901,0.0422472207165984,-51.05625620716595,macapa,AP
68906,0.0378809426411975,-51.09081249306265,macapa,AP
68903,0.0009392271143459,-51.10154177459961,macapa,AP
68900,0.0338125275745399,-51.06241980511341,macapa,AP
68900,0.0426335319973775,-51.0747883076782,macapa,AP
68903,0.0032973438256775,-51.08986026553772,macapa,AP
68900,0.0330141306419245,-51.06068651772248,macapa,AP
68905,0.0558675712003116,-51.04306931008564,macapá,AP
68909,0.0842672054512282,-51.06154728298081,macapa,AP
68903,0.0273891207354404,-51.10862141315842,macapa,AP
68900,0.0356176836738863,-51.05785450459977,macapa,AP
68908,0.0368862401681103,-51.051868487691365,macapa,AP
68901,0.0412885045298366,-51.07873487735606,macapa,AP
68902,0.0221718547269184,-51.07249213002495,macapa,AP
68908,0.0335325443867076,-51.05200898970319,macapa,AP
68902,0.0219857729342685,-51.06879337092595,macapá,AP
68980,3.8470550591123054,-51.83560042863378,oiapoque,AP
68900,0.0375094178074635,-51.050645659722655,macapa,AP
68906,0.0314501531100413,-51.1162186090433,macapa,AP
68902,0.0385772082507677,-51.09140092199836,macapa,AP
68904,0.0206820000000078,-51.08047414756741,macapa,AP
68980,3.846687114988687,-51.83267714923625,oiapoque,AP
68901,0.0280980072196981,-51.05855564407071,macapa,AP
68909,0.096863387943892,-51.04401300000001,macapa,AP
68903,0.0194248584924263,-51.07443742978368,macapa,AP
68900,0.0384900183607588,-51.06270352570006,macapa,AP
68905,0.0496622616905618,-51.06342352630644,macapa,AP
68909,0.0842672054512282,-51.06154728298081,macapa,AP
68902,0.0240233824310042,-51.064332656323145,macapa,AP
68904,0.0114207662260432,-51.08605748185062,macapa,AP
68948,0.9013680122713784,-52.00447441372422,serra do navio,AP
68901,0.0403305506436514,-51.0536165774377,macapa,AP
68920,1.211469000000058,-53.045751499999966,laranjal do jari,AP
68900,0.0331383601908655,-51.06245320980359,macapa,AP
68900,0.0349717437610148,-51.062614502768845,macapá,AP
68902,0.0078615897626601,-51.08000547431369,macapa,AP
68908,0.0748393648969875,-51.09090540305343,macapá,AP
68900,0.0301661233253606,-51.064340206560246,macapa,AP
68904,0.0178034462618907,-51.08363009884928,macapa,AP
68902,0.0149251988127662,-51.068255577935744,macapa,AP
68997,0.7119168478514022,-51.41338885637655,porto grande,AP
68900,0.0420682846088173,-51.07721370370448,macapa,AP
68901,0.0335411401319673,-51.076861394036285,macapa,AP
68903,0.0026222316668195,-51.08652433961528,macapa,AP
68902,0.0179137353757636,-51.06626679092879,macapa,AP
68908,0.075769876450829,-51.05707351172282,macapa,AP
68904,0.0234163050381704,-51.08679050002792,macapá,AP
68903,0.0011757683332274,-51.094067112376976,macapa,AP
68945,0.7774094604439001,-51.95539376918561,pedra branca do amapari,AP
68909,0.0942132737618684,-51.08078929753484,macapa,AP
68904,0.0093665658260389,-51.09516789901956,macapa,AP
68908,0.0517739837859906,-51.05546503678316,macapa,AP
68909,0.0997569110917929,-51.04083573145692,macapá,AP
68908,0.0454123064969659,-51.06627208779189,macapá,AP
68904,0.0108756618434502,-51.09492731374298,macapa,AP
68901,0.0494620525982967,-51.05428693485468,macapa,AP
68980,3.843032230282736,-51.8381543090796,oiapoque,AP
68909,0.0897665441489192,-51.087313101393086,macapa,AP
68900,0.0344916029090177,-51.06986422512182,macapá,AP
68909,0.0952851150645518,-51.04716859097877,macapa,AP
68900,0.0417798416479505,-51.06222418865202,macapa,AP
68903,0.0095000811535537,-51.0596490868932,macapa,AP
68900,0.0398440307245969,-51.05718837647493,macapa,AP
68902,0.0170986744729782,-51.06975209367035,macapa,AP
68903,0.0010208605969788,-51.07533028724619,macapa,AP
68905,0.0873432477223951,-51.042474591449405,macapa,AP
68909,0.0279341136891328,-51.114137637043086,macapa,AP
68904,0.0119271752858648,-51.081891347891926,macapa,AP
68908,0.0450969844903938,-51.06150512206827,macapá,AP
68900,0.0321392681670646,-51.07366450320987,macapa,AP
68945,0.7791941570102032,-51.948999168418,pedra branca do amapari,AP
68906,0.0349717437610148,-51.062614502768845,macapá,AP
68900,0.0311514496787761,-51.05360616579527,macapa,AP
68901,0.0282166620134946,-51.06481465577762,macapa,AP
68906,0.0366718023952689,-51.08639495883321,macapá,AP
68909,0.0966330141801855,-51.04510880722487,macapa,AP
68902,0.016880621409311,-51.06290477348583,macapa,AP
68900,0.0344282650642912,-51.05361905314673,macapa,AP
68997,0.7043350395237901,-51.41139506580055,porto grande,AP
68909,0.0912217043938702,-51.05233927694476,macapa,AP
68901,0.042508563264327,-51.04720312467882,macapa,AP
68902,0.0241914398399647,-51.07138305371522,macapa,AP
68902,0.0247229957452927,-51.06335308774384,macapa,AP
68901,0.0282958796138375,-51.06156151067838,macapá,AP
68920,1.211469000000058,-53.045751499999966,laranjal do jari,AP
68904,0.0103034878301957,-51.090553202879725,macapa,AP
68908,0.0571083572605609,-51.053264768146015,macapa,AP
68901,0.0487743488005333,-51.04282816102548,macapá,AP
68950,2.0534872566250724,-50.79293156636463,amapa,AP
68901,0.0370615767122653,-51.07865183038967,macapá,AP
68909,0.0937683491793769,-51.04264493719433,macapa,AP
68908,0.0453913668225616,-51.05691131973663,macapá,AP
68900,0.0363444939788838,-51.06640367666871,macapa,AP
68901,0.0295006915156889,-51.07915280987016,macapa,AP
68900,0.0293361284582805,-51.05414101052378,macapa,AP
68908,0.0722264959082089,-51.08119295428626,macapa,AP
68902,0.0121976892554346,-51.062744443282526,macapa,AP
68960,2.497166964362394,-50.95462497109634,calcoene,AP
68902,0.0164307768052596,-51.06603730403126,macapa,AP
68908,0.070380934526098,-51.06559049999999,macapa,AP
68980,3.818921867158104,-51.84653082357079,oiapoque,AP
68909,0.0934683672300391,-51.062658114393976,macapa,AP
68902,0.0197056799661495,-51.0711025037832,macapa,AP
68902,0.0222808507573401,-51.07327531297408,macapa,AP
68904,0.0234780483511949,-51.07889736216073,macapa,AP
68902,0.0173093615354265,-51.06996221497325,macapa,AP
68900,0.0458482522961314,-51.05115055752697,macapa,AP
68904,0.023182011001621,-51.07945979187573,macapa,AP
68948,0.8926980000000526,-51.99922249999996,serra do navio,AP
68908,0.0444215047026042,-51.05349100215036,macapa,AP
68920,1.211469000000058,-53.045751499999966,laranjal do jari,AP
68900,0.0319709384523078,-51.07104348695428,macapa,AP
68901,0.0433074282855003,-51.07824870492383,macapa,AP
68900,0.0411023836856228,-51.06477795557673,macapá,AP
68997,0.7109644170494379,-51.41556141864283,porto grande,AP
68900,0.0307411507862231,-51.06407688956876,macapa,AP
68901,0.0379087587831218,-51.07962572570726,macapa,AP
68900,0.0390720669078983,-51.07120633764154,macapa,AP
68980,3.845028342277464,-51.83391721583143,oiapoque,AP
68901,0.0296197539742199,-51.06924784464252,macapa,AP
68908,0.0452887977659047,-51.06605741451702,macapa,AP
68909,0.0901003134250109,-51.083532836527205,macapá,AP
68900,0.0342806826118761,-51.06680546100877,macapa,AP
68900,0.0307411507862231,-51.06407688956876,macapa,AP
68904,0.0219701655883162,-51.080413387489486,macapá,AP
68904,0.0234042833554645,-51.087787443508205,macapa,AP
68904,0.0116777860261818,-51.07985939072813,macapa,AP
68948,0.8926980000000526,-51.99922249999996,serra do navio,AP
68902,0.0186163640328727,-51.087058404002775,macapá,AP
68908,0.044579587238382,-51.065152037519184,macapa,AP
68948,0.8926980000000526,-51.99922249999996,serra do navio,AP
68901,0.0279905965506353,-51.07784809552141,macapá,AP
68900,0.0382404933704322,-51.05912526420465,macapa,AP
68980,3.840106802931424,-51.83478355700222,oiapoque,AP
68900,0.0338582213947642,-51.06061774086325,macapá,AP
68920,1.211469000000058,-53.045751499999966,laranjal do jari,AP
68902,0.0120608653611535,-51.07061641997202,macapa,AP
